,County,Candidate,Margin,Total votes,Biden vote approx,Trump vote approx,Biden Share,Trump Share,State,Relative Vote Total,b,r,g,rgb
43,Shelby,Trump,0.3,23542,8239.699999999999,15302.300000000001,0.35,0.65,Kentucky,0.408080309067705,0.35,0.65,0.35,"(0.65, 0.35, 0.35, 0.408080309067705)"
44,Nelson,Trump,0.37,23256,7325.64,15930.36,0.315,0.685,Kentucky,0.4031227452076522,0.315,0.685,0.315,"(0.685, 0.315, 0.315, 0.4031227452076522)"
45,Barren,Trump,0.47,20079,5320.935,14758.065,0.265,0.735,Kentucky,0.3480521844265758,0.265,0.735,0.265,"(0.735, 0.265, 0.265, 0.3480521844265758)"
46,Greenup,Trump,0.45,18176,4998.400000000001,13177.6,0.275,0.725,Kentucky,0.3150653172039167,0.275,0.725,0.275,"(0.725, 0.275, 0.275, 0.3150653172039167)"
47,Clark,Trump,0.32,18128,6163.5199999999995,11964.480000000001,0.33999999999999997,0.66,Kentucky,0.3142332785141176,0.33999999999999997,0.66,0.33999999999999997,"(0.66, 0.33999999999999997, 0.33999999999999997, 0.3142332785141176)"
48,Calloway,Trump,0.32,17453,5934.0199999999995,11518.980000000001,0.33999999999999997,0.66,Kentucky,0.30253273443881806,0.33999999999999997,0.66,0.33999999999999997,"(0.66, 0.33999999999999997, 0.33999999999999997, 0.30253273443881806)"
49,Graves,Trump,0.57,17018,3658.8700000000003,13359.13,0.21500000000000002,0.7849999999999999,Kentucky,0.29499238381251397,0.21500000000000002,0.7849999999999999,0.21500000000000002,"(0.7849999999999999, 0.21500000000000002, 0.21500000000000002, 0.29499238381251397)"
50,Floyd,Trump,0.51,16381,4013.345,12367.655,0.245,0.755,Kentucky,0.28395053703330536,0.245,0.755,0.245,"(0.755, 0.245, 0.245, 0.28395053703330536)"
51,Whitley,Trump,0.65,15347,2685.725,12661.275,0.175,0.825,Kentucky,0.26602703692388363,0.175,0.825,0.175,"(0.825, 0.175, 0.175, 0.26602703692388363)"
52,Woodford,Trump,0.12,15211,6692.84,8518.160000000002,0.44,0.5600000000000002,Kentucky,0.2636695939694529,0.44,0.5600000000000002,0.44,"(0.5600000000000002, 0.44, 0.44, 0.2636695939694529)"
53,Boyle,Trump,0.25,14467,5425.125,9041.875,0.375,0.625,Kentucky,0.2507729942775672,0.375,0.625,0.375,"(0.625, 0.375, 0.375, 0.2507729942775672)"
54,Muhlenberg,Trump,0.49,14229,3628.395,10600.605,0.255,0.745,Kentucky,0.2466474691073135,0.255,0.745,0.255,"(0.745, 0.255, 0.255, 0.2466474691073135)"
55,Meade,Trump,0.46,14110,3809.7000000000003,10300.3,0.27,0.73,Kentucky,0.2445847065221866,0.27,0.73,0.27,"(0.73, 0.27, 0.27, 0.2445847065221866)"
56,Knox,Trump,0.67,13279,2191.035,11087.965,0.16499999999999998,0.835,Kentucky,0.23018003670504011,0.16499999999999998,0.835,0.16499999999999998,"(0.835, 0.16499999999999998, 0.16499999999999998, 0.23018003670504011)"
57,Anderson,Trump,0.48,13261,3447.86,9813.14,0.26,0.74,Kentucky,0.22986802219636546,0.26,0.74,0.26,"(0.74, 0.26, 0.26, 0.22986802219636546)"
58,Montgomery,Trump,0.42,12837,3722.7300000000005,9114.27,0.29000000000000004,0.7100000000000001,Kentucky,0.2225183471031403,0.29000000000000004,0.7100000000000001,0.29000000000000004,"(0.7100000000000001, 0.29000000000000004, 0.29000000000000004, 0.2225183471031403)"
59,Taylor,Trump,0.51,12510,3064.95,9445.05,0.245,0.7549999999999999,Kentucky,0.2168500835288841,0.245,0.7549999999999999,0.245,"(0.7549999999999999, 0.245, 0.245, 0.2168500835288841)"
60,Logan,Trump,0.48,12346,3209.96,9136.039999999999,0.26,0.7399999999999999,Kentucky,0.21400728467207059,0.26,0.7399999999999999,0.26,"(0.7399999999999999, 0.26, 0.26, 0.21400728467207059)"
61,Grayson,Trump,0.59,11994,2458.77,9535.23,0.205,0.7949999999999999,Kentucky,0.20790566761354404,0.205,0.7949999999999999,0.205,"(0.7949999999999999, 0.205, 0.205, 0.20790566761354404)"
62,Mercer,Trump,0.47,11735,3109.775,8625.225,0.265,0.735,Kentucky,0.20341612551650318,0.265,0.735,0.265,"(0.735, 0.265, 0.265, 0.20341612551650318)"
63,Carter,Trump,0.53,11585,2722.475,8862.525,0.235,0.765,Kentucky,0.20081600461088106,0.235,0.765,0.235,"(0.765, 0.235, 0.235, 0.20081600461088106)"
64,Spencer,Trump,0.54,11429,2628.6699999999996,8800.33,0.22999999999999995,0.77,Kentucky,0.19811187886903409,0.22999999999999995,0.77,0.22999999999999995,"(0.77, 0.22999999999999995, 0.22999999999999995, 0.19811187886903409)"
65,Ohio,Trump,0.56,11127,2447.9399999999996,8679.06,0.21999999999999997,0.7799999999999999,Kentucky,0.19287696877904822,0.21999999999999997,0.7799999999999999,0.21999999999999997,"(0.7799999999999999, 0.21999999999999997, 0.21999999999999997, 0.19287696877904822)"
66,Grant,Trump,0.59,11106,2276.73,8829.269999999999,0.205,0.7949999999999999,Kentucky,0.19251295185226114,0.205,0.7949999999999999,0.205,"(0.7949999999999999, 0.205, 0.205, 0.19251295185226114)"
67,Lincoln,Trump,0.57,10913,2346.295,8566.705,0.215,0.785,Kentucky,0.18916746295369402,0.215,0.785,0.215,"(0.785, 0.215, 0.215, 0.18916746295369402)"
68,Breckinridge,Trump,0.52,10197,2447.2799999999997,7749.72,0.23999999999999996,0.76,Kentucky,0.17675621916419113,0.23999999999999996,0.76,0.23999999999999996,"(0.76, 0.23999999999999996, 0.23999999999999996, 0.17675621916419113)"
69,Rowan,Trump,0.21,10058,3972.9100000000003,6085.09,0.395,0.605,Kentucky,0.17434677379164798,0.395,0.605,0.395,"(0.605, 0.395, 0.395, 0.17434677379164798)"
70,Bell,Trump,0.63,10044,1858.1399999999999,8185.86,0.185,0.815,Kentucky,0.17410409584045658,0.185,0.815,0.185,"(0.815, 0.185, 0.185, 0.17410409584045658)"
71,Bourbon,Trump,0.3,9643,3375.0499999999997,6267.95,0.35,0.65,Kentucky,0.16715310595276014,0.35,0.65,0.35,"(0.65, 0.35, 0.35, 0.16715310595276014)"
72,Allen,Trump,0.63,9363,1732.155,7630.844999999999,0.185,0.815,Kentucky,0.1622995469289322,0.185,0.815,0.185,"(0.815, 0.185, 0.185, 0.1622995469289322)"
73,Wayne,Trump,0.62,9240,1755.6,7484.400000000001,0.19,0.81,Kentucky,0.16016744778632205,0.19,0.81,0.19,"(0.81, 0.19, 0.19, 0.16016744778632205)"
74,Russell,Trump,0.69,8939,1385.5450000000003,7553.455,0.15500000000000003,0.845,Kentucky,0.15494987183570702,0.15500000000000003,0.845,0.15500000000000003,"(0.845, 0.15500000000000003, 0.15500000000000003, 0.15494987183570702)"
75,Marion,Trump,0.38,8928,2767.68,6160.32,0.31,0.69,Kentucky,0.15475919630262808,0.31,0.69,0.31,"(0.69, 0.31, 0.31, 0.15475919630262808)"
76,Harrison,Trump,0.44,8853,2478.84,6374.16,0.28,0.72,Kentucky,0.15345913584981702,0.28,0.72,0.28,"(0.72, 0.28, 0.28, 0.15345913584981702)"
77,Simpson,Trump,0.37,8732,2750.58,5981.42,0.315,0.685,Kentucky,0.1513617049859485,0.315,0.685,0.315,"(0.685, 0.315, 0.315, 0.1513617049859485)"
78,Garrard,Trump,0.57,8703,1871.1450000000002,6831.855,0.21500000000000002,0.7849999999999999,Kentucky,0.1508590149441949,0.21500000000000002,0.7849999999999999,0.21500000000000002,"(0.7849999999999999, 0.21500000000000002, 0.21500000000000002, 0.1508590149441949)"
79,Hart,Trump,0.53,8369,1966.715,6402.285,0.235,0.765,Kentucky,0.145069412394343,0.235,0.765,0.235,"(0.765, 0.235, 0.235, 0.145069412394343)"
80,Henry,Trump,0.46,8107,2188.8900000000003,5918.11,0.27,0.73,Kentucky,0.14052786787918972,0.27,0.73,0.27,"(0.73, 0.27, 0.27, 0.14052786787918972)"
81,Mason,Trump,0.39,7958,2427.19,5530.81,0.305,0.6950000000000001,Kentucky,0.1379450811129384,0.305,0.6950000000000001,0.305,"(0.6950000000000001, 0.305, 0.305, 0.1379450811129384)"
82,Rockcastle,Trump,0.7,7784,1167.6000000000001,6616.4,0.15000000000000002,0.85,Kentucky,0.13492894086241677,0.15000000000000002,0.85,0.15000000000000002,"(0.85, 0.15000000000000002, 0.15000000000000002, 0.13492894086241677)"
83,Trigg,Trump,0.5,7375,1843.75,5531.25,0.25,0.75,Kentucky,0.12783927785975382,0.25,0.75,0.25,"(0.75, 0.25, 0.25, 0.12783927785975382)"
84,LaRue,Trump,0.57,7301,1569.7150000000001,5731.285,0.21500000000000002,0.785,Kentucky,0.12655655154631357,0.21500000000000002,0.785,0.21500000000000002,"(0.785, 0.21500000000000002, 0.21500000000000002, 0.12655655154631357)"
85,Fleming,Trump,0.57,7066,1519.1900000000003,5546.8099999999995,0.21500000000000005,0.7849999999999999,Kentucky,0.12248302879417226,0.21500000000000005,0.7849999999999999,0.21500000000000005,"(0.7849999999999999, 0.21500000000000005, 0.21500000000000005, 0.12248302879417226)"
86,Lawrence,Trump,0.63,6955,1286.675,5668.325,0.185,0.815,Kentucky,0.1205589393240119,0.185,0.815,0.185,"(0.815, 0.185, 0.185, 0.1205589393240119)"
87,Pendleton,Trump,0.61,6925,1350.375,5574.625,0.195,0.805,Kentucky,0.12003891514288748,0.195,0.805,0.195,"(0.805, 0.195, 0.195, 0.12003891514288748)"
